id_prueba,timestamp,modo,tipo de evento,escenario,distancia_m,iluminacion,objeto_verdad,objeto_predicho,confianza,t_total_ms,acierto,notas
164,2025-12-28T16:05:11.495307,MOBILE,converted output to speech,3,,LED,,,,00:00:00.018,,
165,2025-12-28T16:05:14.605140,MOBILE,capture,3,,LED,,starting,,00:00:03.109,,
166,2025-12-28T16:05:15.195968,MOBILE,capture,3,,LED,,finished (30290 bytes),,00:00:00.590,,
167,2025-12-28T16:05:15.200702,MOBILE,detectScene,3,,LED,,starting,,00:00:00.004,,
168,2025-12-28T16:05:15.327356,MOBILE,preprocessing,3,,LED,,resizing to 520,,00:00:00.126,,
169,2025-12-28T16:05:15.580300,MOBILE,running inference,3,,LED,,,,00:00:00.252,,
170,2025-12-28T16:05:20.963566,MOBILE,finished inference,3,,LED,,,,00:00:05.383,,
171,2025-12-28T16:05:21.021172,MOBILE,ALL PREDICTIONS START,3,,LED,,,,00:00:00.057,,
172,2025-12-28T16:05:21.023031,MOBILE,PREDICTION,3,,LED,,Class: person (ID: 15) | Confidence: 1.27% | Pixels: 3440/270400,,00:00:00.001,,
173,2025-12-28T16:05:21.024535,MOBILE,PREDICTION,3,,LED,,Class: tv_monitor (ID: 20) | Confidence: 1.04% | Pixels: 2806/270400,,00:00:00.001,,
174,2025-12-28T16:05:21.026256,MOBILE,ALL PREDICTIONS END,3,,LED,,,,00:00:00.001,,
175,2025-12-28T16:05:21.027800,MOBILE,DOMINANT CLASS,3,,LED,,"person (ID: 15, 1.3%)",,00:00:00.001,,
176,2025-12-28T16:05:21.029258,MOBILE,result,3,,LED,,person,0.013,00:00:00.001,,
177,2025-12-28T16:05:21.030716,MOBILE,naturalDescription,3,,LED,,No puedo identificar nada en concreto.,,00:00:00.001,,
178,2025-12-28T16:05:21.032265,MOBILE,converting output to speech,3,,LED,,"""No puedo identificar nada en concreto.""",,00:00:00.001,,
179,2025-12-28T16:05:21.037418,MOBILE,converted output to speech,3,,LED,,,,00:00:00.005,,
180,2025-12-28T16:05:26.212388,MOBILE,capture,3,,LED,,starting,,00:00:05.174,,
181,2025-12-28T16:05:26.791831,MOBILE,capture,3,,LED,,finished (28106 bytes),,00:00:00.579,,
