T+00:17:04.991 | CAMERA | Image captured: 1024x768, 29722 bytes
T+00:17:08.590 | CAMERA | Image captured: 1024x768, 29825 bytes
T+00:17:11.173 | CAMERA | Image captured: 1024x768, 28854 bytes
T+00:17:13.806 | CAMERA | Image captured: 1024x768, 31731 bytes
T+00:17:27.393 | CAMERA | Image captured: 1024x768, 31305 bytes
T+00:17:34.016 | CAMERA | Image captured: 1024x768, 30932 bytes
T+00:17:51.603 | CAMERA | Image captured: 1024x768, 29907 bytes
T+00:17:54.174 | CAMERA | Image captured: 1024x768, 29968 bytes
T+00:17:56.243 | CAMERA | Image captured: 1024x768, 26482 bytes
T+00:17:58.309 | CAMERA | Image captured: 1024x768, 28575 bytes
T+00:18:00.392 | CAMERA | Image captured: 1024x768, 28760 bytes
T+00:18:02.460 | CAMERA | Image captured: 1024x768, 28442 bytes
T+00:18:05.027 | CAMERA | Image captured: 1024x768, 28842 bytes
T+00:18:07.114 | CAMERA | Image captured: 1024x768, 30166 bytes
T+00:18:08.692 | CAMERA | Image captured: 1024x768, 30314 bytes
T+00:18:10.756 | CAMERA | Image captured: 1024x768, 30486 bytes
T+00:18:12.825 | CAMERA | Image captured: 1024x768, 30162 bytes
T+00:18:14.889 | CAMERA | Image captured: 1024x768, 31316 bytes
T+00:18:16.525 | CAMERA | Image captured: 1024x768, 28797 bytes
T+00:18:18.097 | CAMERA | Image captured: 1024x768, 29252 bytes
T+00:18:20.168 | CAMERA | Image captured: 1024x768, 29391 bytes
T+00:18:21.740 | CAMERA | Image captured: 1024x768, 29127 bytes
T+00:18:38.341 | CAMERA | Image captured: 1024x768, 29229 bytes
T+00:18:40.415 | CAMERA | Image captured: 1024x768, 28266 bytes
T+00:18:42.479 | CAMERA | Image captured: 1024x768, 30839 bytes
T+00:18:45.063 | CAMERA | Image captured: 1024x768, 33036 bytes
T+00:18:47.132 | CAMERA | Image captured: 1024x768, 32858 bytes
T+00:18:49.194 | CAMERA | Image captured: 1024x768, 33071 bytes
T+00:18:51.272 | CAMERA | Image captured: 1024x768, 34217 bytes
T+00:18:54.389 | CAMERA | Image captured: 1024x768, 30435 bytes
T+00:18:56.954 | CAMERA | Image captured: 1024x768, 33904 bytes
T+00:19:00.032 | CAMERA | Image captured: 1024x768, 34030 bytes
T+00:19:02.117 | CAMERA | Image captured: 1024x768, 33991 bytes
T+00:19:04.185 | CAMERA | Image captured: 1024x768, 33319 bytes
T+00:19:06.258 | CAMERA | Image captured: 1024x768, 33646 bytes
T+00:19:08.320 | CAMERA | Image captured: 1024x768, 33804 bytes
T+00:19:12.891 | CAMERA | Image captured: 1024x768, 33250 bytes
T+00:19:15.457 | CAMERA | Image captured: 1024x768, 33129 bytes
T+00:19:18.536 | CAMERA | Image captured: 1024x768, 29508 bytes
T+00:19:21.098 | CAMERA | Image captured: 1024x768, 29102 bytes
T+00:19:23.184 | CAMERA | Image captured: 1024x768, 28049 bytes
